Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Galnt1,VEC_Prol,0.630244942,1.23E-04
Cenps,VEC_Prol,2.440970169,1.25E-04
Cdca5,VEC_Prol,2.072869407,1.29E-04
Actb,VEC_Prol,0.28814444,1.32E-04
Stx6,VEC_Prol,0.667821927,1.44E-04
Tnf,VEC_Prol,2.111525306,1.59E-04
Dapk2,VEC_Prol,0.603707904,1.60E-04
Stard5,VEC_Prol,0.941450563,1.62E-04
Gdpd5,VEC_Prol,0.71719168,1.77E-04
Slc9a5,VEC_Prol,0.896153453,1.87E-04
Dtymk,VEC_Prol,0.79232746,1.91E-04
Gm49692,VEC_Prol,0.628810528,2.09E-04
Eef1a1,VEC_Prol,0.299572739,2.12E-04
Ccne2,VEC_Prol,1.780071808,2.14E-04
Csrp1,VEC_Prol,0.580894118,2.36E-04
Slc22a23,VEC_Prol,0.989669258,2.37E-04
BC055324,VEC_Prol,1.362484315,2.44E-04
Fbxo48,VEC_Prol,2.975385317,2.64E-04
Aldoa.1,VEC_Prol,2.838912025,2.65E-04
H2-Q6,VEC_Prol,0.938275484,2.71E-04
A930006K02Rik,VEC_Prol,1.31842013,2.72E-04
Il16,VEC_Prol,1.054932379,2.75E-04
Cbfb,VEC_Prol,0.57500396,3.06E-04
Dot1l,VEC_Prol,0.65184168,3.15E-04
Dctd,VEC_Prol,1.754467431,3.16E-04
Rgs16,VEC_Prol,1.673165837,3.40E-04
Taco1,VEC_Prol,0.642642869,3.63E-04
Phf19,VEC_Prol,1.825713327,3.68E-04
Dlgap3,VEC_Prol,2.061752607,3.90E-04
Dclk2,VEC_Prol,0.906329927,3.99E-04
Mcm4,VEC_Prol,1.14930995,4.14E-04
St5,VEC_Prol,0.623087957,4.18E-04
Tubb6,VEC_Prol,1.115394743,4.22E-04
Tonsl,VEC_Prol,1.932868664,4.35E-04
Snhg1,VEC_Prol,0.845766045,4.68E-04
Ncapd3,VEC_Prol,0.778812316,4.74E-04
Cdca4,VEC_Prol,0.992814133,4.76E-04
Cobll1,VEC_Prol,0.657579861,4.84E-04
Rbl1,VEC_Prol,0.787856128,5.06E-04
Samd4,VEC_Prol,0.585381782,5.35E-04
Sh3tc2,VEC_Prol,0.609114717,5.39E-04
Lxn,VEC_Prol,0.907537468,5.66E-04
Wsb1,VEC_Prol,0.689004602,6.23E-04
Cerk,VEC_Prol,0.65257365,6.32E-04
Rsad2,VEC_Prol,0.80324769,6.70E-04
Sass6,VEC_Prol,0.712755425,6.78E-04
Mcph1,VEC_Prol,0.723079258,6.83E-04
Sdk1,VEC_Prol,2.021955028,7.05E-04
Ranbp17,VEC_Prol,1.316300077,8.30E-04
Limd1,VEC_Prol,0.626252562,8.35E-04
Cdr2,VEC_Prol,0.9558076,8.51E-04
Arhgef26,VEC_Prol,0.659018725,8.70E-04
Nudt4,VEC_Prol,0.728875872,8.79E-04
Myo1b,VEC_Prol,0.401521845,8.95E-04
Stk32c,VEC_Prol,1.429089857,9.31E-04
Dcbld1,VEC_Prol,0.522672055,0.001044651
Slc4a7,VEC_Prol,0.610182495,0.001116991
Oip5,VEC_Prol,2.544001711,0.001154837
Fosl2,VEC_Prol,0.804668163,0.001188812
Tbc1d16,VEC_Prol,0.943365029,0.001225395
Kif20a,VEC_Prol,1.627167717,0.001279711
Itga1,VEC_Prol,0.41127416,0.001318645
Angpt2,VEC_Prol,0.720580587,0.00146811
Ctps,VEC_Prol,0.888503508,0.001474642
Magi3,VEC_Prol,0.467447422,0.001522113
Cit,VEC_Prol,0.715794559,0.001536495
Cd93,VEC_Prol,0.443277906,0.001547488
Chtf18,VEC_Prol,1.899076207,0.001619176
Slc7a5,VEC_Prol,1.70254617,0.001705607
Gna12,VEC_Prol,0.537840979,0.001823146
Gm3173,VEC_Prol,1.024110242,0.001908196
Gm36756,VEC_Prol,1.823824737,0.001933075
Ptchd4,VEC_Prol,2.553655097,0.002055148
Impa2,VEC_Prol,0.971034406,0.002090887
Pik3c2b,VEC_Prol,0.481581069,0.002140962
Gm8281,VEC_Prol,2.130767801,0.002337746
Tube1,VEC_Prol,1.936674669,0.002457054
Bora,VEC_Prol,1.114118025,0.002642495
Fam83d,VEC_Prol,2.960150225,0.002700018
Etv6,VEC_Prol,0.535419328,0.00275762
Ube2t,VEC_Prol,1.641166899,0.002762481
Casp4,VEC_Prol,0.678124425,0.002789745
Rcsd1,VEC_Prol,0.467105869,0.00290239
Eda2r,VEC_Prol,0.893642625,0.00291723
Dut,VEC_Prol,0.889389421,0.003107323
Cenpa,VEC_Prol,0.96404429,0.00317435
Usp31,VEC_Prol,0.629456102,0.003269644
Pif1,VEC_Prol,3.042713125,0.003381298
Knstrn,VEC_Prol,2.015634267,0.00342258
2610020C07Rik,VEC_Prol,0.970904413,0.003437806
Prag1,VEC_Prol,0.437560646,0.003762737
Ankrd28,VEC_Prol,0.517190064,0.003872295
A630089N07Rik,VEC_Prol,0.637273027,0.004162863
Frmd4a,VEC_Prol,0.518552997,0.004576377
Hdx,VEC_Prol,0.974548659,0.004651119
Tnfaip1,VEC_Prol,0.500103037,0.004792636
Hat1,VEC_Prol,0.861152833,0.004885648
Rfwd3,VEC_Prol,0.768222773,0.004897479
Smarcc1,VEC_Prol,0.707032743,0.004919534
Gins2,VEC_Prol,1.128318338,0.004950958
2810408I11Rik,VEC_Prol,2.400946984,0.00497231
Efr3b,VEC_Prol,0.456470881,0.005020991
Pold3,VEC_Prol,0.632022748,0.005121285
Haus6,VEC_Prol,0.699119567,0.005339034
Ccsap,VEC_Prol,1.677817736,0.005595237
D5Ertd615e,VEC_Prol,0.381500887,0.005760669
Tgif2,VEC_Prol,1.862200227,0.00592988
Haus4,VEC_Prol,1.009877838,0.0064575
Mapk6,VEC_Prol,0.7354766,0.006569778
Cdca7l,VEC_Prol,1.476558273,0.006999689
Adam12,VEC_Prol,0.701923891,0.007285869
Zfp827,VEC_Prol,0.678611394,0.007303096
Eed,VEC_Prol,0.741777693,0.007920937
Trio,VEC_Prol,0.471089968,0.00933349
Pde4c,VEC_Prol,1.778111346,0.009767011
Nrg1,EndoC,8.432647843,0
Npr3,EndoC,8.05161936,0
Tmem108,EndoC,7.764093047,0
Smoc1,EndoC,7.316962838,0
Fgf14,EndoC,7.074129674,0
Cdh11,EndoC,6.883780792,0
Mpzl2,EndoC,6.679854509,0
Rasgef1b,EndoC,6.568189179,0
Dpp4,EndoC,6.453021491,0
Plagl1,EndoC,6.444531369,0
Col4a3,EndoC,6.183344201,0
Col4a4,EndoC,6.146673105,0
Epha7,EndoC,6.104114437,0
Chrm3,EndoC,5.98672499,0
Kcnt2,EndoC,5.865868099,0
Plxnc1,EndoC,5.736117576,0
Cyp1b1,EndoC,5.426394293,0
Kank1,EndoC,5.325903104,0
Cfh,EndoC,5.160543822,0
Cytl1,EndoC,5.108673489,0
Enpp6,EndoC,5.097563805,0
Sox5,EndoC,5.037803332,0
Pla2g4a,EndoC,5.005205439,0
Greb1l,EndoC,5.002061321,0
Pdlim3,EndoC,4.938277765,0
Pde3a,EndoC,4.912926131,0
Prkg1,EndoC,4.721454237,0
Ctsh,EndoC,4.701370206,0
Hand2os1,EndoC,4.514964212,0
Spon1,EndoC,4.471873843,0
Plvap,EndoC,4.371777015,0
Meis2,EndoC,4.36477341,0
Sobp,EndoC,4.191162469,0
Bmpr1a,EndoC,4.118160011,0
Gpm6a,EndoC,4.073845429,0
Vwf,EndoC,3.954528556,0
Cgnl1,EndoC,3.908296229,0
Dapk1,EndoC,3.897081716,0
Cpe,EndoC,3.497667349,0
Ahsg,EndoC,7.080702724,1.74E-289
Foxc1,EndoC,3.576489175,3.55E-286
Sall1,EndoC,6.903259493,1.08E-279
Pcdh7,EndoC,3.733617205,3.59E-279
Thsd4,EndoC,3.495709703,3.84E-279
Mgp,EndoC,3.518618456,3.89E-277
Ptgis,EndoC,3.715466939,4.34E-270
Cemip2,EndoC,3.344181013,6.07E-269
Mir99ahg,EndoC,2.934310614,5.24E-266
Pkhd1l1,EndoC,3.182590437,2.11E-265
Hmcn1,EndoC,3.539700812,4.98E-262
Itgbl1,EndoC,4.305594805,4.56E-259
Hpgd,EndoC,5.984838327,2.87E-257
Mal,EndoC,4.907805755,4.66E-251
Bmx,EndoC,4.076147019,1.10E-246
Bace2,EndoC,3.595782216,1.84E-245
Pir,EndoC,3.961372608,7.25E-243
Gpr182,EndoC,3.356425123,2.35E-242
Pdgfc,EndoC,5.817691659,1.05E-229
Smpd3,EndoC,3.904228524,1.26E-224
Zeb2,EndoC,3.145623864,2.66E-224
Adgra2,EndoC,3.18006242,1.87E-222
Amigo2,EndoC,3.403582515,1.33E-218
Setbp1,EndoC,2.758629367,2.08E-218
Wdr17,EndoC,3.697091389,5.03E-217
Nalcn,EndoC,5.547857771,1.36E-212
Adgrg6,EndoC,4.066070775,1.56E-205
Gata4,EndoC,3.42943463,2.32E-200
Ror1,EndoC,4.27641972,7.23E-199
Ncam1,EndoC,4.633817547,1.17E-192
Megf6,EndoC,3.251306739,3.11E-192
Gm20631,EndoC,3.698068983,4.77E-189
5033428I22Rik,EndoC,3.407393203,1.86E-188
Sgip1,EndoC,3.980925526,4.94E-187
Sytl5,EndoC,7.774123705,7.12E-184
Cdo1,EndoC,4.321989832,2.93E-182
Col23a1,EndoC,3.658734066,3.57E-181
Rbp1,EndoC,2.88776223,1.63E-179
Lrig1,EndoC,3.738439994,3.03E-177
Hand2,EndoC,3.304433382,9.14E-175
Adh6b,EndoC,6.038992447,1.06E-172
Lsr,EndoC,4.558174909,3.18E-172
Slit3,EndoC,4.196608702,1.32E-167
Vcam1,EndoC,2.938929783,2.52E-162
Id2,EndoC,3.228477643,1.39E-160
Il6st,EndoC,2.411967562,2.87E-159
Parp8,EndoC,2.73881566,3.54E-159
Nipal2,EndoC,4.35873962,1.69E-158
Hunk,EndoC,5.446433574,1.26E-156
Ptgs1,EndoC,2.447224751,1.35E-152
Gucy1a1,EndoC,3.54266419,3.87E-152
Tm4sf1,EndoC,2.268545736,7.27E-152
Gmds,EndoC,2.250179465,2.36E-151
Dcn,EndoC,2.360398362,3.04E-149
B4galt6,EndoC,3.834170407,6.27E-148
Ece1,EndoC,2.134489357,2.80E-146
4930590L20Rik,EndoC,6.249571693,6.34E-146
H19,EndoC,5.025112418,1.11E-144
Vegfd,EndoC,4.048701178,2.22E-143
Rbms3,EndoC,2.214303769,5.65E-142
Gucy1b1,EndoC,3.441452103,8.69E-142
Slco1a4,EndoC,6.48603694,3.16E-140
Nrxn3,EndoC,3.769743658,7.93E-139
Cp,EndoC,2.167073969,2.46E-137
Atp1b3,EndoC,2.177870552,1.70E-135
Snx24,EndoC,2.799760761,3.45E-133
Tmem100,EndoC,3.583477429,2.29E-132
Astn2,EndoC,3.69999308,1.98E-130
Cdc14a,EndoC,2.481395352,2.34E-129
Lmo4,EndoC,2.431298594,3.35E-128
Sema4d,EndoC,3.162239191,6.27E-128
Ptpn14,EndoC,2.014567442,1.35E-127
Ccdc80,EndoC,2.262151524,2.99E-126
Carmil1,EndoC,3.395773274,1.68E-123
Magi2,EndoC,3.11524226,2.37E-123
Adam33,EndoC,5.433147275,3.18E-123
Sost,EndoC,6.095530245,3.31E-123
Zfpm2,EndoC,1.696178325,1.52E-122
Reck,EndoC,3.0637227,1.78E-122
Rai2,EndoC,3.76119079,2.35E-122
Igfbp5,EndoC,3.480909117,6.22E-122
Slc16a7,EndoC,5.397140317,8.13E-122
Ralgps2,EndoC,3.181140423,8.28E-120
Bgn,EndoC,1.831807121,1.15E-119
Apoe,EndoC,2.815691479,5.43E-119
Wnk4,EndoC,4.882784872,1.21E-117
Thrb,EndoC,3.159138263,1.34E-117
Rnf141,EndoC,2.451156288,1.45E-116
Gm49417,EndoC,3.398309113,6.95E-116
Smad6,EndoC,2.266959728,4.34E-115
Gm30648,EndoC,3.241623856,2.60E-114
Ripor2,EndoC,3.644750403,5.52E-114
Ntn1,EndoC,1.842863466,1.43E-113
Tmem176b,EndoC,2.450718223,2.59E-112
Igfbp6,EndoC,3.953691766,1.12E-111
1010001N08Rik,EndoC,3.291431845,6.01E-111
Eps8,EndoC,2.400958179,2.68E-108
Igfbp4,EndoC,2.210191671,2.89E-108
Pid1,EndoC,2.950632476,4.88E-108
Pgm5,EndoC,2.164863015,6.95E-108
Ppl,EndoC,4.060001065,1.21E-107
Sulf1,EndoC,2.179476906,3.28E-107
Acvr1,EndoC,2.004573639,4.48E-107
Gata6,EndoC,2.100028752,4.98E-107
Ocln,EndoC,5.073924604,4.84E-106
Gpc6,EndoC,4.258846313,6.68E-106
Tuft1,EndoC,4.779781829,6.76E-106
Adk,EndoC,2.091954535,2.94E-105
Igf2,EndoC,3.507562585,2.75E-103
Foxp1,EndoC,1.187450018,1.20E-99
Gcnt1,EndoC,3.173860529,1.80E-99
Prr15,EndoC,4.230852111,1.05E-98
Kcnip3,EndoC,4.702854222,3.72E-98
Arhgap42,EndoC,3.659786117,1.06E-96
Heg1,EndoC,1.480372388,1.39E-96
Ptprd,EndoC,4.005074923,1.54E-96
Pard3,EndoC,1.602297149,1.05E-95
Frrs1,EndoC,3.716440971,1.64E-95
Unc13b,EndoC,1.605560861,8.93E-95
Slc41a2,EndoC,3.059974486,2.95E-94
Gm36684,EndoC,3.144502351,3.03E-94
Dsg2,EndoC,3.781950789,4.75E-94
1700024B18Rik,EndoC,7.132897242,7.34E-94
Ptpn3,EndoC,2.776829269,1.10E-93
Lum,EndoC,2.116463794,3.90E-92
Cd9,EndoC,1.62693078,5.84E-92
Pld1,EndoC,1.892826923,6.41E-92
Ephx2,EndoC,2.593175197,1.49E-91
Gabarapl1,EndoC,2.461661195,7.67E-89
Ifitm10,EndoC,2.714932862,3.44E-88
Irf6,EndoC,4.082523714,5.96E-88
Sgcd,EndoC,2.314140243,1.42E-87
Ssbp2,EndoC,2.008600471,2.04E-87
Entpd1,EndoC,1.654178864,3.67E-87
Gal3st2,EndoC,6.018793137,1.23E-85
Frem1,EndoC,5.028112453,1.31E-85
Hmgcll1,EndoC,5.024682195,1.76E-85
Klhl13,EndoC,2.773137474,1.33E-83
Pde7b,EndoC,2.105558426,9.79E-83
Ptgs2,EndoC,4.807446268,1.78E-82
Nr2f2,EndoC,1.361879231,2.36E-82
Tmem176a,EndoC,2.565247196,1.14E-81
4932413F04Rik,EndoC,7.299455944,1.89E-81
Tmem164,EndoC,1.962940128,7.35E-81
Degs1,EndoC,1.698301338,9.09E-81
Irx5,EndoC,3.632431037,6.71E-80
Tec,EndoC,2.374031642,8.20E-80
Clu,EndoC,1.624987166,4.14E-79
Rab11fip1,EndoC,5.018461777,1.55E-78
Celf2,EndoC,1.950570258,5.89E-78
Rdx,EndoC,1.647302744,1.38E-76
Pawr,EndoC,2.054701006,6.33E-76
1110032F04Rik,EndoC,5.145939943,2.04E-75
Fabp5,EndoC,2.067881986,3.47E-75
Kcnh1,EndoC,3.822814163,6.24E-75
Ecm1,EndoC,2.019819244,1.28E-74
Rps6ka2,EndoC,2.895253207,2.75E-74
Vim,EndoC,1.295187488,5.78E-74
Inhba,EndoC,4.952665275,2.89E-73
Megf9,EndoC,1.823284895,4.20E-73
Meis1,EndoC,1.96586764,6.29E-73
Emcn,EndoC,1.229516395,2.56E-72
Slc7a2,EndoC,3.769620251,2.68E-72
Wbp1l,EndoC,1.560603148,9.24E-72
Pthlh,EndoC,3.868826287,5.01E-71
Cacnb4,EndoC,4.351797007,1.81E-70
Gm47405,EndoC,5.590179915,5.48E-70
Selenbp1,EndoC,2.14415664,2.54E-69
4930594M22Rik,EndoC,4.012972091,2.73E-69
Art4,EndoC,4.762655199,4.61E-69
Cited2,EndoC,2.397506681,1.63E-68
Tgfa,EndoC,3.204853607,2.57E-68
Ephx1,EndoC,1.368169581,5.34E-67
Gm32743,EndoC,7.359202055,6.61E-67
Plcg2,EndoC,2.269303942,1.72E-66
Hs3st1,EndoC,1.885043386,3.64E-66
Eng,EndoC,1.201092705,5.53E-66
Lbp,EndoC,1.67791685,6.85E-66
Spint2,EndoC,2.061008187,1.80E-64
Plxna4,EndoC,1.325031442,6.21E-64
Fhl1,EndoC,1.79784127,1.14E-63
Emp3,EndoC,1.925610387,1.35E-63
Ralgapa2,EndoC,1.255330583,1.46E-63
Pknox2,EndoC,3.047534044,1.56E-63
Colec11,EndoC,3.034094223,3.48E-63
Flrt2,EndoC,1.603876103,4.56E-63
Selenop,EndoC,1.698576681,4.98E-63
Gsta4,EndoC,2.442256565,3.98E-61
Lhfp,EndoC,2.252154181,4.78E-61
Fign,EndoC,2.665145251,1.11E-60
Nt5c2,EndoC,1.483244023,1.32E-60
Kcnd3,EndoC,3.774159763,3.97E-60
Wipf3,EndoC,1.968685867,5.30E-60
Golph3,EndoC,1.46441374,5.20E-59
Nos3,EndoC,1.51974121,6.25E-59
Ikzf2,EndoC,2.191578758,7.27E-59
Dennd2a,EndoC,2.005671167,1.14E-58
P2ry6,EndoC,2.146088534,3.08E-58
Cped1,EndoC,1.071496666,3.74E-58
Tmtc1,EndoC,1.413008904,4.27E-58
Trim47,EndoC,1.463536494,5.08E-58
Zfp521,EndoC,1.026124346,6.21E-58
Lyve1,EndoC,1.752141976,1.48E-57
Slc38a1,EndoC,3.212675233,2.83E-57
Sdk2,EndoC,3.338519428,4.62E-57
Hlf,EndoC,1.734679064,5.32E-57
Igsf3,EndoC,2.679365063,1.18E-56
Fstl1,EndoC,1.171213599,4.37E-56
Eya1,EndoC,4.384123176,1.21E-55
Myof,EndoC,1.871707116,1.64E-55
Pbx1,EndoC,1.20571492,2.75E-55
Mfap5,EndoC,1.869545995,2.99E-55
Smc4,EndoC,1.597560981,5.12E-55
Pam,EndoC,1.445292307,2.15E-54
Procr,EndoC,2.693608088,9.68E-54
Itgb4,EndoC,2.586215548,2.15E-53
Timp2,EndoC,1.217468005,2.79E-53
Crim1,EndoC,1.273688437,3.34E-53
St6gal1,EndoC,1.488487189,4.33E-53
Col5a2,EndoC,1.405786107,4.77E-53
Pecam1,EndoC,0.98220763,1.10E-52
Gk5,EndoC,2.022464964,1.17E-52
Pkp2,EndoC,2.002831229,2.22E-52
Chrm2,EndoC,3.038933509,2.26E-52
Tnfaip8l3,EndoC,3.143339948,3.43E-52
Wls,EndoC,1.381564978,3.78E-52
Ppp3ca,EndoC,0.98555506,4.48E-52
Tmem158,EndoC,3.238758977,7.02E-52
Pde1a,EndoC,2.759813663,1.03E-51
Cdon,EndoC,2.539508,2.48E-51
Bex4,EndoC,5.314765037,3.18E-51
Ptk7,EndoC,2.696055619,3.40E-51
Tspan5,EndoC,1.1603445,5.30E-51
Stk32b,EndoC,4.394651267,5.53E-51
Bmpr2,EndoC,0.93059997,7.86E-51
Palm,EndoC,1.243356892,1.23E-50
Dmtn,EndoC,2.151052506,1.77E-50
Notch1,EndoC,1.049307182,3.15E-50
Mrap2,EndoC,4.80391105,4.30E-50
Crip1,EndoC,1.369021932,2.98E-49
Kirrel,EndoC,2.389732064,8.68E-49
Aplp2,EndoC,0.979380373,1.29E-48
Synj2,EndoC,1.576275163,1.71E-48
C5ar2,EndoC,4.071297011,2.22E-48
Gprasp2,EndoC,4.551880094,4.66E-48
Sft2d2,EndoC,1.714690236,1.66E-47
Mrap,EndoC,3.338783792,7.75E-47
Acot11,EndoC,2.505857605,8.39E-47
Mical2,EndoC,1.522118605,1.04E-46
Myrip,EndoC,1.256363729,1.19E-46
B130024G19Rik,EndoC,1.997648413,1.67E-46
Frmd6,EndoC,1.51311645,2.31E-46
Bicc1,EndoC,1.587218762,2.75E-46
Comp,EndoC,2.629204101,3.86E-46
Acer2,EndoC,1.293400686,8.93E-46
Foxc2,EndoC,2.643345046,1.79E-45
Stab1,EndoC,1.354053217,1.93E-45
Prkca,EndoC,1.599945646,2.06E-45
Mdfi,EndoC,3.464986292,2.13E-45
Naaa,EndoC,2.785402929,3.62E-45
Cpq,EndoC,1.399679077,5.57E-45
Tmod2,EndoC,2.62172642,1.55E-44
Arhgdib,EndoC,1.654941084,1.67E-44
Soat1,EndoC,1.883112458,2.03E-44
Plce1,EndoC,0.980583379,5.03E-44
Rtn1,EndoC,1.729643911,5.30E-44
Gm16226,EndoC,6.03591491,5.34E-44
Fchsd2,EndoC,1.176800362,5.35E-44
Glrb,EndoC,7.36001009,9.64E-44
Add2,EndoC,4.859014743,1.04E-43
Aass,EndoC,5.474752982,1.04E-43
Gxylt2,EndoC,2.437695236,1.15E-43
Pip5k1b,EndoC,1.869299715,1.43E-43
Cdc42ep5,EndoC,2.123727693,1.52E-43
Tgfbr2,EndoC,1.179301906,3.18E-43
Fndc3b,EndoC,0.983239335,1.33E-42
Slc45a3,EndoC,1.944470853,2.06E-42
Kcnc2,EndoC,2.272065986,2.59E-42
Esr1,EndoC,2.665950557,2.72E-42
Nfatc2,EndoC,2.00682335,4.07E-42
Mthfd1l,EndoC,1.719048326,5.28E-42
Magi3,EndoC,1.028798899,7.13E-42
Camk4,EndoC,3.494499782,9.11E-42
Nrk,EndoC,3.024097851,1.34E-41
Tle1,EndoC,1.273957121,1.53E-41
Rnf217,EndoC,1.35465866,1.91E-41
Dock7,EndoC,1.309076753,2.12E-41
Cobll1,EndoC,1.254308935,2.97E-41
Stra6,EndoC,6.421913644,3.60E-41
Gas6,EndoC,1.046366848,3.56E-40
Hid1,EndoC,2.286586553,3.78E-40
Tfpi,EndoC,1.380138638,4.05E-40
Gja4,EndoC,1.71998615,5.48E-40
Nfia,EndoC,0.690703901,5.97E-40
Mat2a,EndoC,1.006858448,7.13E-40
Cfhr2,EndoC,4.538704379,1.58E-39
Baiap2,EndoC,1.462383035,1.61E-39
Hyal2,EndoC,1.49570976,2.09E-39
Arrb1,EndoC,1.340011026,2.78E-39
Atp2b4,EndoC,1.129019626,3.16E-39
Eva1c,EndoC,2.108377063,4.09E-38
Exoc3l2,EndoC,2.061846744,5.11E-38
Tgfbr3,EndoC,0.953420108,5.30E-38
Lypd6,EndoC,4.368399524,5.38E-38
Fam129b,EndoC,1.399837338,5.57E-38
Mgst1,EndoC,1.850900145,8.47E-38
Slc29a1,EndoC,1.268638226,1.27E-37
Uhrf1bp1l,EndoC,1.441423057,1.31E-37
Rab27a,EndoC,1.749610475,1.49E-37
Tbc1d8,EndoC,1.377080775,2.37E-37
Sdc2,EndoC,2.089436924,2.54E-37
Marveld1,EndoC,1.474849379,2.90E-37
Cygb,EndoC,1.745597946,4.17E-37
P3h2,EndoC,1.769856264,5.00E-37
Ackr4,EndoC,2.714677278,5.80E-37
9130019P16Rik,EndoC,2.524929973,6.38E-37
Ltbp1,EndoC,1.251159715,7.03E-37
Pde1c,EndoC,1.745106649,1.77E-36
Mamdc2,EndoC,2.884771088,2.09E-36
Efna5,EndoC,1.505228246,2.43E-36
Lyst,EndoC,1.18479074,7.02E-36
Eln,EndoC,0.954379905,8.06E-36
Cmas,EndoC,1.327565924,1.69E-35
Osbpl5,EndoC,1.741078863,2.34E-35
Gm43445,EndoC,3.228945965,2.71E-35
B4galt5,EndoC,1.32011852,2.89E-35
Synpo,EndoC,1.064537283,4.20E-35
Txndc5,EndoC,1.624200798,4.52E-35
Cit,EndoC,1.718982236,5.50E-35
Gata2,EndoC,1.079685169,5.52E-35
Gm5934,EndoC,7.895437899,5.83E-35
Rfk,EndoC,1.352098441,6.98E-35
Ninl,EndoC,3.191847382,1.56E-34
Svil,EndoC,0.900404154,2.53E-34
Scarf2,EndoC,1.818756883,3.12E-34
Adh1,EndoC,1.225697218,3.67E-34
Fam110b,EndoC,2.499375072,4.30E-34
Crnde,EndoC,3.163000375,4.68E-34
Atl2,EndoC,1.386539869,5.38E-34
Ltbp4,EndoC,1.083155019,5.43E-34
A2m,EndoC,6.095877344,6.39E-34
Dlg4,EndoC,2.692622293,7.44E-34
Rnase4,EndoC,1.481371997,8.38E-34
Tpd52,EndoC,1.501024758,8.80E-34
Rcn3,EndoC,1.476033932,9.01E-34
Nos1ap,EndoC,0.914184246,9.33E-34
Mmrn2,EndoC,0.930234186,1.08E-33
Adgre5,EndoC,0.940393312,1.48E-33
Rora,EndoC,0.999207845,1.62E-33
Scd2,EndoC,1.4828316,2.43E-33
Evc2,EndoC,2.684621204,3.57E-33
Aox1,EndoC,2.088753475,4.24E-33
Tbl1xr1,EndoC,1.284444373,4.86E-33
Proser2,EndoC,2.498870551,5.52E-33
Ctla2a,EndoC,1.242123784,8.83E-33
Gm34030,EndoC,2.272853135,1.12E-32
Ghr,EndoC,1.152738095,1.57E-32
Perp,EndoC,1.521113709,1.64E-32
Arhgap32,EndoC,1.309746299,2.36E-32
Ankrd6,EndoC,2.112511738,2.47E-32
Ptprf,EndoC,2.456409951,3.68E-32
Car8,EndoC,0.899270616,3.73E-32
Foxp4,EndoC,2.411204234,4.23E-32
Pde4d,EndoC,1.149631866,6.37E-32
Fam124a,EndoC,2.166181672,8.25E-32
Gm28523,EndoC,3.552924034,1.05E-31
Angpt1,EndoC,2.598807575,2.17E-31
Lrrc32,EndoC,1.58312103,2.53E-31
Zbtb4,EndoC,1.016149555,3.07E-31
Tspan4,EndoC,1.047389017,3.95E-31
Gm11266,EndoC,2.495112094,4.22E-31
Sema6d,EndoC,1.000249663,5.32E-31
Tom1l1,EndoC,2.545427908,5.53E-31
Cbfa2t3,EndoC,1.006604678,1.39E-30
Slc18a2,EndoC,2.599391141,1.40E-30
Gm13561,EndoC,3.896701689,1.49E-30
Pon2,EndoC,0.993180168,1.58E-30
Slc45a4,EndoC,1.730628529,1.60E-30
Ahnak2,EndoC,2.235071999,1.64E-30
Anpep,EndoC,2.135365079,1.92E-30
Tef,EndoC,0.88465108,2.24E-30
Cxcl16,EndoC,1.312092809,2.32E-30
Osbpl3,EndoC,1.843709954,3.95E-30
Fam117a,EndoC,1.865850571,4.22E-30
Icosl,EndoC,1.721071181,4.62E-30
Pla2g12a,EndoC,1.643208263,4.69E-30
Msrb3,EndoC,0.911111383,6.00E-30
Ccn2,EndoC,1.731253565,1.85E-29
Me1,EndoC,1.775266704,1.95E-29
Dse,EndoC,2.469103868,2.56E-29
Hpse,EndoC,3.232666772,2.88E-29
Ces2g,EndoC,3.027337802,3.45E-29
Dennd2d,EndoC,2.758013801,3.61E-29
Aldh3a1,EndoC,7.714047529,3.77E-29
Per2,EndoC,0.908442952,4.98E-29
Rgs3,EndoC,0.891847231,5.99E-29
Zc3h12b,EndoC,2.491895232,7.04E-29
Ehd4,EndoC,0.910841371,1.81E-28
Rhoj,EndoC,0.819857201,1.82E-28
Mamld1,EndoC,1.744980181,2.09E-28
G630016G05Rik,EndoC,4.730720667,2.57E-28
Axl,EndoC,1.539230783,3.04E-28
Gm4117,EndoC,3.029257532,3.13E-28
Slc16a2,EndoC,1.11739732,4.60E-28
Dop1b,EndoC,1.108542393,7.23E-28
Nbl1,EndoC,1.850994955,7.96E-28
Uggt2,EndoC,1.993847705,8.32E-28
Usp53,EndoC,1.372783664,8.92E-28
Fam174b,EndoC,1.207776439,1.07E-27
Ramp2,EndoC,0.745661219,1.38E-27
Cdc42ep3,EndoC,1.020916369,1.48E-27
Radil,EndoC,1.984276366,1.55E-27
Inhbb,EndoC,2.811707132,1.61E-27
Pkd1,EndoC,0.884982023,1.63E-27
Slc44a2,EndoC,0.912568691,1.68E-27
Cebpd,EndoC,1.11008088,1.87E-27
Golim4,EndoC,0.99066776,3.13E-27
Mettl7a1,EndoC,1.496336321,3.64E-27
Etnk1,EndoC,0.852426154,4.16E-27
Zfp809,EndoC,1.170802975,4.42E-27
Ttc9,EndoC,1.956822166,5.55E-27
Paics,EndoC,1.086275644,9.32E-27
Col4a5,EndoC,2.291160157,1.06E-26
Sox5os4,EndoC,4.903179959,1.14E-26
Ston1,EndoC,1.144986922,1.47E-26
