Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Gpr20,SMC,5.528451831792827,4.2698450100402594e-38
Cnnm2,SMC,3.5402204369296535,7.995122082171537e-38
Myom1,SMC,3.148267472105172,3.029806423759827e-37
Brinp2,SMC,5.646721108,6.217799682713776e-36
Pdlim3,SMC,3.039409344240043,6.711562709779347e-36
Wnk2,SMC,4.070983433621555,9.277425453889045e-36
Cabp1,SMC,2.6758232606911267,1.26739580216596e-35
Gm4876,SMC,2.9947919415224638,6.801352001331858e-35
Ramp1,SMC,4.778873555311744,9.020609581706933e-35
Sntg1,SMC,4.752047318023598,9.635454009955958e-35
Cd93,SMC,2.937620118128324,1.326366763317516e-34
Prkcd,SMC,3.017860448660728,6.065954306625134e-34
Pdgfd,SMC,3.507338566028631,1.2586199984034267e-33
Myo1e,SMC,2.473310151940774,4.3377589024535934e-32
Wnt5b,SMC,2.808602492900999,1.9511536420688262e-31
Abtb2,SMC,2.8657982373055932,2.721573496223539e-31
Nxn,SMC,3.398002953713915,6.279597930959612e-31
Ttll7,SMC,3.7086330583570617,2.34061592800378e-29
Crhr2,SMC,3.740755555370238,2.9005899777896625e-29
Gm13052,SMC,5.221810968530533,3.4556075387826834e-29
Ido2,SMC,8.330245157,5.157667664975348e-29
Cav1,SMC,2.403166036886827,1.1373700740462958e-28
Atp2b4,SMC,2.163400830551695,2.3226418015454356e-28
Tpm2,SMC,2.7035270735410775,2.506503782849948e-28
Dgkb,SMC,2.718364778030513,4.286550088317288e-28
Mamdc2,SMC,2.8591564922958392,2.3464397936489708e-27
Enah,SMC,3.861467370314907,2.4471295049892282e-27
Stum,SMC,4.316381791,3.3740826120429815e-27
Col4a5,SMC,3.6395764203141936,6.911956989452014e-27
Slc8a1,SMC,2.1949126780717645,1.6605485773670786e-26
Rbm24,SMC,3.0007861422985376,4.741567442198404e-26
Fgfr1,SMC,2.878566852948443,6.149332180092831e-26
4930520O04Rik,SMC,4.618887116056092,1.273320050486081e-25
Apol6,SMC,7.147487194474449,1.8590998041053873e-25
Npnt,SMC,6.893084059707695,1.9275589317419289e-25
Kif6,SMC,4.592152441322437,7.9289796687294375e-25
Lrrc10b,SMC,4.638377878,8.664187475322572e-25
Kcnb1,SMC,2.974041230039528,1.0086449105283512e-24
Arhgef7,SMC,2.6943729117098227,1.4072161525056259e-24
Klhl38,SMC,3.8114272674033947,1.9002957026554466e-24
Igsf9b,SMC,4.327778992612725,2.4352016794004155e-24
Gm12122,SMC,4.7914036001545925,2.498661436170659e-24
Synm,SMC,3.7256432827588584,3.3395442694991444e-24
Rgs7bp,SMC,2.588853362243035,3.485675781216967e-24
Scn4b,SMC,3.750031999600048,3.658147411141582e-24
Sel1l3,SMC,6.691614181144982,4.2021112152519825e-24
Ralgapa2,SMC,2.599176120696588,5.294169553556899e-24
Trpv1,SMC,8.335932990421718,1.053796054678061e-23
Ptp4a3,SMC,2.3232284309882987,1.2380947554110361e-23
Rnf144b,SMC,3.150247623902793,1.3224780678776329e-23
Dtna,SMC,2.9278429682638367,1.9339529042037858e-23
Mical2,SMC,2.770732399632357,4.0170613188889415e-23
Nkd1,SMC,3.2794804328501312,8.314289999528738e-23
Itga3,SMC,4.429922383984115,8.376240887290653e-23
